"","consensusClass","cor_pval","separationLevel","LumP","LumNS","LumU","Stroma-rich","Ba/Sq","NE-like"
"CH_B_001b","Ba/Sq",1.0606930260741e-82,0.61362401893181,0.26484502481976,0.252351150071244,0.238929993402488,0.419739196933354,0.654531580419058,0.278953491083407
"CH_B_002b","Ba/Sq",3.03264102615662e-74,0.739383772008889,0.530745676775206,0.477998287138737,0.486454190067412,0.506713905567638,0.627664254222961,0.380959850965669
"CH_B_003b","LumP",3.53480789878222e-94,0.0818145314997801,0.687073351746083,0.663684828442361,0.678870060624013,0.509928034136907,0.39834806596612,0.300893060011467
"CH_B_004b","LumP",1.30906038008577e-85,0.17431316678177,0.663177662177105,0.642391570325587,0.647953231407966,0.509284685886872,0.351293219022538,0.252253688880039
"CH_B_006b","LumP",1.17303549713078e-57,0.703857797256575,0.56593626071404,0.468273892763597,0.455809988077595,0.456014734007639,0.492881489294486,0.231263367671364
"CH_B_008b","LumNS",5.09146117646059e-80,0.599891674826602,0.610798593736942,0.646301035672384,0.61668996885462,0.583082098197709,0.322882655403152,0.217060505556693
"CH_B_009b","LumU",2.85195485345725e-44,0.563665839730978,0.449392590102612,0.414254162758033,0.504395401482341,0.333203903569969,0.399375580221249,0.36340344726005
"CH_B_010a","Ba/Sq",2.86437581475426e-74,0.662167424533292,0.373441952332015,0.357934527735932,0.345083625885803,0.454220245476852,0.62774705813514,0.235929267967101
"CH_B_011a","LumP",6.85968197239917e-61,0.409722978837918,0.579059337218262,0.466008251174507,0.50726339724414,0.321625676950566,0.341649532941662,0.242559277004917
"CH_B_013a","LumU",3.18079996676183e-73,0.608288196452893,0.577279945898429,0.5776626279597,0.624233091894994,0.51806650219108,0.484427040290645,0.330570457190464
"CH_B_016a","Ba/Sq",1.04968291415996e-78,0.67957505222305,0.282610047777866,0.281395634368124,0.291894164628339,0.410411908464845,0.642171755427493,0.310376494362805
"CH_B_019a","LumU",9.72389014887748e-96,0.3609444456914,0.652892205378493,0.658052827072834,0.691189875751304,0.545874532686579,0.355061988988535,0.319731752910364
"CH_B_020a","LumU",3.26185064436702e-55,0.482709425181858,0.499186002680187,0.520280694989321,0.555609103024188,0.465656739406378,0.25207781537593,0.257911705824009
"CH_B_022a","LumP",1.47336992142565e-101,0.550547987586123,0.705953928872851,0.614268918075765,0.581303884997266,0.497535783001422,0.342223730094679,0.230694643069826
"CH_B_023a","Ba/Sq",3.53638055759111e-71,0.654464923292079,0.462604499460228,0.438701130752713,0.413153226626713,0.508208974454827,0.617223919541718,0.213743842973463
"CH_B_025a","LumP",6.45886789340156e-77,0.354088934027927,0.636446204580899,0.538080465333471,0.570686982641408,0.363384228245978,0.282157124274711,0.26513983195088
"CH_B_027a","LumU",6.38310311314079e-83,0.420874845432778,0.592348227796431,0.595652697706326,0.655197323215993,0.435089971340927,0.231471096472205,0.3375499579786
"CH_B_029a","Stroma-rich",1.65458270445905e-42,0.422001585807416,0.30297757553785,0.349682838637801,0.282366728755503,0.495258004431938,0.423970206065768,0.195404779444159
"CH_B_030a","Ba/Sq",5.45436885414767e-80,0.528774619285117,0.263088594425467,0.240563235922897,0.193007878088538,0.43766866428327,0.646207789994148,0.207577907201546
"CH_B_031a","Stroma-rich",2.241951766396e-77,0.660788414033618,0.46886080526504,0.521585912935828,0.45486357843255,0.637928468939201,0.404344251026375,0.280788942913693
"CH_B_032a","Stroma-rich",2.23454884964077e-39,0.219343188907516,0.358865139367014,0.433225843342268,0.460277683431044,0.478325170675588,0.250870871431526,0.270310816444386
"CH_B_033a","Ba/Sq",1.20398421323314e-68,0.655805746081737,0.122568328721914,0.104724030062246,0.0743881384619165,0.30167222385363,0.608297496104048,0.158916612735876
"CH_B_034a","Stroma-rich",2.64937022609804e-57,0.523861581391345,0.358616386147948,0.422878565037165,0.390720493463207,0.564463532487216,0.481869418422975,0.33614383982903
"CH_B_035a","Stroma-rich",1.82290318350454e-50,0.00890280672573221,0.392481013005766,0.497609424754442,0.53366108562969,0.534457102347181,0.274305938520449,0.327241786375909
"CH_B_036a","LumP",1.21409197520172e-47,0.527198245370382,0.521126323182791,0.487361801427819,0.456071973035851,0.458090255535374,0.214570816629773,0.226684815236517
"CH_B_037a","Stroma-rich",2.12164713338313e-56,0.579614598231573,0.497289484782769,0.482077837500529,0.420564896326449,0.560668926738133,0.380236047189492,0.253067463635874
"CH_B_039a","Ba/Sq",8.36597174032035e-57,0.5716114212223,0.280664447217293,0.235234744703159,0.210978453219108,0.388360827894851,0.562372352296823,0.196165282837797
"CH_B_041a","NE-like",8.70125126479306e-21,0.103918964422235,0.0243824747604392,0.0627346509662167,0.113328486597602,0.206099311484573,0.331460251832257,0.351377761986734
